qid,n_words,t_suf_global,phi_suf_global,t_suf_perq,phi_suf_perq
test3115,9,3,0.3333,3,0.3333
test3116,10,7,0.7,7,0.7
test3117,12,1,0.0833,1,0.0833
test3118,9,3,0.3333,1,0.1111
test3119,9,6,0.6667,6,0.6667
test3120,11,4,0.3636,4,0.3636
test3121,10,7,0.7,7,0.7
test3122,7,5,0.7143,5,0.7143
test3123,10,4,0.4,4,0.4
test3124,11,4,0.3636,4,0.3636
test3125,7,4,0.5714,4,0.5714
test3126,9,4,0.4444,4,0.4444
test3127,8,3,0.375,3,0.375
test3128,9,3,0.3333,4,0.4444
test3129,10,3,0.3,3,0.3
test3130,8,5,0.625,6,0.75
test3131,9,7,0.7778,7,0.7778
test3132,10,4,0.4,5,0.5
test3133,9,5,0.5556,5,0.5556
test3134,8,6,0.75,3,0.375
test3135,8,,,7,0.875
test3136,11,1,0.0909,1,0.0909
test3137,9,1,0.1111,1,0.1111
test3138,10,1,0.1,1,0.1
test3139,15,,,12,0.8
test3140,8,3,0.375,3,0.375
test3141,12,,,,
test3142,8,7,0.875,7,0.875
test3143,10,7,0.7,7,0.7
test3144,8,3,0.375,3,0.375
test3145,9,3,0.3333,3,0.3333
test3146,8,5,0.625,5,0.625
test3147,10,8,0.8,8,0.8
test3148,8,4,0.5,4,0.5
test3149,10,3,0.3,2,0.2
test3150,8,1,0.125,1,0.125
test3151,8,3,0.375,1,0.125
test3152,8,4,0.5,4,0.5
test3153,10,,,,
test3154,8,8,1.0,8,1.0
test3155,12,6,0.5,6,0.5
test3156,9,6,0.6667,6,0.6667
test3157,9,5,0.5556,5,0.5556
test3158,10,5,0.5,5,0.5
test3159,9,2,0.2222,1,0.1111
test3160,9,7,0.7778,,
test3161,8,5,0.625,5,0.625
test3162,13,11,0.8462,12,0.9231
test3163,8,8,1.0,8,1.0
test3164,10,4,0.4,4,0.4
test3165,8,5,0.625,5,0.625
test3166,8,6,0.75,6,0.75
test3167,8,,,,
