qid,n_words,t_suf_global,phi_suf_global,t_suf_perq,phi_suf_perq
4981,9,7,0.7778,7,0.7778
4999,8,8,1.0,,
5021,17,,,,
5030,6,,,,
5045,10,8,0.8,10,1.0
5054,7,,,,
5061,11,,,,
5064,9,7,0.7778,7,0.7778
5067,11,,,,
5080,16,,,,
5083,2,,,,
5085,7,,,,
5086,12,5,0.4167,5,0.4167
5090,13,,,2,0.1538
5125,6,3,0.5,1,0.1667
5134,18,,,,
5150,17,,,15,0.8824
5155,15,15,1.0,,
5172,12,,,,
5178,13,,,,
5185,12,,,,
5196,12,,,8,0.6667
5206,22,,,,
5228,17,,,,
5231,16,,,,
5241,8,7,0.875,,
5254,11,,,,
5255,7,3,0.4286,4,0.5714
5264,13,13,1.0,13,1.0
5271,15,,,,
5331,5,,,,
5343,6,,,,
5347,4,,,,
5356,14,,,,
5369,15,,,,
5374,14,,,,
5380,15,5,0.3333,7,0.4667
5402,16,,,,
5410,10,,,,
5422,17,,,,
5427,15,,,,
5460,13,13,1.0,5,0.3846
5464,5,,,,
5503,11,,,11,1.0
5505,13,9,0.6923,9,0.6923
5511,15,,,9,0.6
5534,6,,,,
5549,11,,,,
5585,15,,,,
5592,9,3,0.3333,2,0.2222
5616,8,,,,
5620,6,,,,
5646,7,6,0.8571,6,0.8571
5653,10,6,0.6,6,0.6
5683,20,4,0.2,6,0.3
5710,6,,,,
5741,6,,,,
5763,17,,,,
5782,14,8,0.5714,1,0.0714
5790,11,,,,
5808,12,,,,
5853,10,,,,
5862,14,11,0.7857,11,0.7857
5888,9,7,0.7778,5,0.5556
5903,14,,,,
5906,23,,,,
5940,8,,,,
5951,10,6,0.6,10,1.0
5970,9,,,,
5981,14,10,0.7143,1,0.0714
5993,17,15,0.8824,,
6002,10,2,0.2,1,0.1
6004,11,,,,
6005,14,9,0.6429,,
6009,9,,,,
6041,8,5,0.625,5,0.625
6080,11,2,0.1818,2,0.1818
6110,6,3,0.5,4,0.6667
6121,17,,,,
6122,11,9,0.8182,3,0.2727
6131,10,9,0.9,8,0.8
6133,10,10,1.0,,
6142,7,,,,
6146,13,6,0.4615,,
6199,17,5,0.2941,,
6219,10,6,0.6,6,0.6
6221,20,,,7,0.35
6252,9,,,2,0.2222
6262,7,,,,
6278,18,12,0.6667,14,0.7778
6395,5,,,,
6410,10,,,,
6420,8,7,0.875,,
6441,7,,,,
6467,7,,,,
6468,10,6,0.6,,
6479,7,5,0.7143,6,0.8571
6525,15,8,0.5333,8,0.5333
6554,13,,,,
6562,19,,,,
6611,13,6,0.4615,6,0.4615
6612,31,,,,
6625,10,,,,
6629,6,,,,
6635,20,20,1.0,,
6644,12,,,,
6647,6,,,,
6668,9,8,0.8889,,
6679,5,,,,
6683,9,,,,
6713,15,8,0.5333,9,0.6
6715,18,,,,
6746,15,,,,
6787,14,,,,
6792,12,,,,
6800,19,,,,
6803,13,6,0.4615,11,0.8462
6807,11,7,0.6364,,
6814,6,,,,
6832,6,2,0.3333,2,0.3333
6835,19,,,,
6849,10,9,0.9,,
6862,8,,,,
6867,9,,,2,0.2222
6875,9,,,,
6890,9,,,,
6891,15,10,0.6667,10,0.6667
6896,7,,,,
6901,7,7,1.0,,
6907,4,,,,
6909,14,,,,
6959,15,,,,
6985,8,5,0.625,5,0.625
7017,4,,,,
7068,4,4,1.0,4,1.0
7071,8,,,,
7080,6,1,0.1667,1,0.1667
7096,11,,,1,0.0909
7098,15,8,0.5333,,
7105,10,,,,
7109,6,6,1.0,6,1.0
7124,13,,,,
7141,15,,,1,0.0667
7145,8,,,3,0.375
7178,10,,,,
7188,13,,,,
7205,10,10,1.0,,
7206,7,,,,
7218,11,,,,
7221,8,,,,
7269,10,,,,
7279,16,,,,
7295,5,,,,
