qid,n_words,t_suf_global,phi_suf_global,t_suf_perq,phi_suf_perq
8,16,5,0.3125,5,0.3125
15,11,,,1,0.0909
18,8,2,0.25,5,0.625
26,6,,,,
34,5,,,,
42,17,,,,
56,8,6,0.75,6,0.75
68,7,,,,
89,15,11,0.7333,7,0.4667
90,7,,,,
94,11,9,0.8182,8,0.7273
98,10,,,,
104,9,,,,
106,9,,,,
109,14,8,0.5714,8,0.5714
475,14,6,0.4286,6,0.4286
503,5,,,,
504,8,,,,
515,11,5,0.4545,9,0.8182
529,4,,,,
547,13,,,1,0.0769
549,14,6,0.4286,,
559,10,,,,
570,8,,,,
585,7,,,,
588,10,9,0.9,2,0.2
594,9,8,0.8889,8,0.8889
603,15,,,,
604,14,,,,
620,12,12,1.0,,
622,17,7,0.4118,,
659,5,5,1.0,5,1.0
672,3,3,1.0,,
684,12,,,,
687,17,,,,
689,14,,,,
691,6,4,0.6667,3,0.5
699,5,2,0.4,2,0.4
701,14,,,,
715,7,,,,
721,10,3,0.3,3,0.3
744,16,,,,
750,17,5,0.2941,1,0.0588
753,6,,,,
766,9,9,1.0,9,1.0
776,14,2,0.1429,2,0.1429
810,19,,,,
813,4,,,,
849,7,,,,
852,8,1,0.125,1,0.125
853,8,7,0.875,8,1.0
858,16,,,,
859,12,,,,
864,10,3,0.3,4,0.4
879,7,6,0.8571,6,0.8571
885,10,,,,
895,17,10,0.5882,10,0.5882
904,19,16,0.8421,16,0.8421
928,15,14,0.9333,15,1.0
929,8,,,,
932,16,3,0.1875,2,0.125
939,11,6,0.5455,,
945,14,,,,
957,8,8,1.0,,
988,6,,,,
1074,6,,,,
1085,8,,,,
1090,16,,,,
1150,14,,,,
1157,7,6,0.8571,4,0.5714
1159,16,,,,
1198,12,7,0.5833,7,0.5833
1230,7,,,,
1281,14,2,0.1429,2,0.1429
1284,8,5,0.625,6,0.75
1297,12,8,0.6667,8,0.6667
1306,13,13,1.0,,
1309,11,3,0.2727,3,0.2727
1310,11,11,1.0,,
1321,11,,,,
1322,10,,,,
1391,11,,,,
1393,11,9,0.8182,11,1.0
1415,20,4,0.2,4,0.2
1416,7,,,,
1441,8,8,1.0,8,1.0
1451,12,6,0.5,4,0.3333
1469,19,9,0.4737,9,0.4737
1530,14,13,0.9286,,
1670,11,3,0.2727,3,0.2727
1676,5,3,0.6,4,0.8
1736,9,7,0.7778,3,0.3333
1748,16,7,0.4375,7,0.4375
1783,3,,,,
1812,9,,,,
1815,7,3,0.4286,3,0.4286
1819,17,3,0.1765,,
1824,14,,,2,0.1429
1826,18,7,0.3889,7,0.3889
1832,9,2,0.2222,2,0.2222
1871,13,11,0.8462,11,0.8462
1877,13,7,0.5385,7,0.5385
1889,7,,,,
1915,16,15,0.9375,,
1920,13,,,,
1933,23,7,0.3043,7,0.3043
1948,13,,,,
1994,11,11,1.0,,
2010,7,2,0.2857,2,0.2857
2051,13,,,,
2070,17,16,0.9412,15,0.8824
2075,13,,,,
2076,14,,,1,0.0714
2088,13,,,,
2108,12,,,1,0.0833
2118,15,,,,
2154,10,9,0.9,,
2181,19,,,,
2183,12,5,0.4167,4,0.3333
2204,11,7,0.6364,7,0.6364
2264,6,6,1.0,6,1.0
2296,12,9,0.75,8,0.6667
2306,12,6,0.5,6,0.5
2316,14,5,0.3571,5,0.3571
2318,6,,,,
2330,14,11,0.7857,11,0.7857
2334,14,6,0.4286,6,0.4286
2348,17,15,0.8824,15,0.8824
2376,12,3,0.25,4,0.3333
2383,8,4,0.5,4,0.5
2384,4,,,3,0.75
2385,8,2,0.25,1,0.125
2388,8,3,0.375,3,0.375
2395,6,,,,
2398,2,,,,
2399,12,8,0.6667,,
2400,9,9,1.0,,
2407,13,6,0.4615,1,0.0769
2416,6,6,1.0,6,1.0
2423,10,3,0.3,,
2443,16,,,,
2445,13,6,0.4615,6,0.4615
2460,14,9,0.6429,10,0.7143
2465,10,,,,
2472,20,,,,
2486,14,5,0.3571,8,0.5714
2498,13,9,0.6923,9,0.6923
2513,14,,,,
2516,7,2,0.2857,1,0.1429
2549,13,,,,
2551,11,,,,
2568,8,7,0.875,,
2579,19,7,0.3684,7,0.3684
2580,7,4,0.5714,4,0.5714
2587,9,4,0.4444,4,0.4444
2589,13,4,0.3077,4,0.3077
2590,13,13,1.0,,
2593,23,14,0.6087,6,0.2609
2598,12,7,0.5833,,
2648,5,3,0.6,3,0.6
2676,6,6,1.0,,
2685,13,,,8,0.6154
2695,15,4,0.2667,4,0.2667
2713,4,4,1.0,,
2724,11,6,0.5455,7,0.6364
2737,10,7,0.7,,
2747,13,,,,
2749,16,8,0.5,8,0.5
2790,10,6,0.6,10,1.0
2801,12,7,0.5833,9,0.75
2856,8,4,0.5,4,0.5
2857,13,,,,
2880,9,6,0.6667,1,0.1111
2885,8,,,1,0.125
2891,10,10,1.0,10,1.0
2895,8,,,,
2903,9,,,,
2923,10,9,0.9,7,0.7
2964,9,,,9,1.0
2968,9,9,1.0,9,1.0
2994,8,8,1.0,8,1.0
3006,11,,,,
3008,14,,,4,0.2857
3014,10,,,,
3033,6,6,1.0,,
3039,16,11,0.6875,11,0.6875
3049,11,5,0.4545,,
3051,8,4,0.5,7,0.875
3067,14,,,,
3085,9,,,,
3091,10,5,0.5,,
3103,13,1,0.0769,1,0.0769
3115,14,8,0.5714,8,0.5714
3125,7,,,,
3148,16,10,0.625,10,0.625
3149,6,,,,
3177,5,1,0.2,1,0.2
3179,11,8,0.7273,10,0.9091
3186,6,6,1.0,3,0.5
3189,8,,,,
3254,10,9,0.9,9,0.9
3264,7,6,0.8571,6,0.8571
3357,13,9,0.6923,9,0.6923
3369,13,,,,
3394,11,,,,
3404,15,,,,
3405,9,,,7,0.7778
3446,9,8,0.8889,8,0.8889
3451,12,,,,
3453,9,3,0.3333,4,0.4444
3480,9,3,0.3333,3,0.3333
3490,5,,,,
3500,6,,,6,1.0
3503,17,7,0.4118,2,0.1176
3512,16,13,0.8125,13,0.8125
3528,14,13,0.9286,14,1.0
3530,7,,,,
3534,5,,,,
3566,24,22,0.9167,1,0.0417
3569,10,,,,
3594,27,21,0.7778,1,0.037
3612,13,,,,
3615,16,8,0.5,8,0.5
3625,9,,,,
3682,5,,,,
